pilot,zip,statefips,countyfips,EmbeddedDataBid,ExternalDataReference,stratas,groupn,language
1,90015,6,37,32,128754,1,11,English
1,33141,12,86,32,213390,3,13,English
1,90015,6,37,240,484250,1,11,English
1,33014,12,86,32,558998,3,13,English
1,31907,13,215,240,406582,2,12,English
1,75240,48,113,96,703598,7,13,English
1,47025,18,29,240,260664,2,12,English
1,33135,12,86,240,158912,3,13,English
1,78584,48,427,16,322617,7,13,English
1,33165,12,86,32,536138,3,13,English
1,20783,24,33,96,368219,1,11,English
1,37208,47,37,64,841123,2,12,English
1,79932,48,141,4,631875,7,13,English
1,78501,48,215,32,400626,2,12,English
1,79905,48,141,32,141420,7,13,English
1,29045,45,55,64,343864,2,12,English
1,30577,13,257,4,849304,2,12,English
1,62935,17,165,16,535373,2,12,English
1,69334,31,123,32,336566,2,12,English
1,11020,36,59,240,221571,0,10,English
1,60140,17,89,96,136417,2,12,English
1,53715,55,25,96,799676,2,12,English
1,3894,33,3,96,955270,0,10,English
1,33136,12,86,32,177346,2,12,English
1,33125,12,86,64,757652,3,13,English
1,57718,46,103,96,970679,0,10,English
1,46582,18,85,32,153356,2,12,English
1,74012,40,143,240,715440,2,12,English
1,32223,12,31,4,505497,2,12,English
1,70529,22,55,240,835414,2,12,English
1,33012,12,86,240,183420,3,13,English
1,92236,6,65,16,498411,1,11,English
1,60432,17,197,64,492737,5,13,English
1,60505,17,89,64,342640,2,12,English
1,33125,12,86,96,91921,3,13,English
1,37138,47,37,64,565284,2,12,English
1,32607,12,1,96,959908,2,12,English
1,7093,34,17,32,76571,1,11,English
1,30680,13,13,4,787257,2,12,English
1,11368,36,81,4,479800,1,11,English
1,46123,18,63,16,427547,2,12,English
1,93274,6,107,240,355730,1,11,English
1,76106,48,439,64,465451,7,13,English
1,8054,34,5,16,619856,0,10,English
1,76705,48,309,32,40339,2,12,English
1,87121,35,1,4,20622,0,10,English
1,94134,6,75,96,690320,0,10,English
1,44512,39,99,96,77972,2,12,English
1,33142,12,86,32,596537,3,13,English
1,27574,37,145,240,592052,0,10,English
1,33172,12,86,240,527745,3,13,English
1,19057,42,17,32,597973,0,10,English
1,33193,12,86,96,209941,3,13,English
1,79761,48,135,16,948031,2,12,English
1,21702,24,21,96,582011,0,10,English
1,29536,45,33,4,647354,2,12,English
1,44805,39,5,64,736134,2,12,English
1,33142,12,86,96,276261,3,13,English
1,73064,40,17,240,74064,2,12,English
1,61919,17,41,240,507722,2,12,English
1,75220,48,113,96,444545,7,13,English
1,75208,48,113,96,433680,7,13,English
1,78520,48,61,64,365406,7,13,English
1,7039,34,13,96,191448,0,10,English
1,77080,48,201,64,652263,7,13,English
1,7093,34,17,16,281146,1,11,English
1,33130,12,86,32,130437,3,13,English
1,85283,4,13,64,855708,0,10,English
1,75220,48,113,16,71439,7,13,English
1,60176,17,31,16,163244,2,12,English
1,53225,55,79,4,203561,2,12,English
1,64060,29,47,96,92651,2,12,English
1,92236,6,65,4,506804,1,11,English
1,60623,17,31,64,388725,5,13,English
1,1841,25,9,16,145363,1,11,English
1,11373,36,81,32,364923,1,11,English
1,78541,48,215,64,552371,2,12,English
1,78557,48,215,16,90391,7,13,English
1,30101,13,223,96,711873,2,12,English
1,11225,36,47,32,986217,0,10,English
1,49508,26,81,4,387230,0,10,English
1,95076,6,87,64,32982,1,11,English
1,94550,6,1,16,939332,0,10,English
1,27332,37,85,64,565225,0,10,English
1,93219,6,107,16,100950,1,11,English
1,20639,24,9,240,981120,0,10,English
1,33014,12,86,4,807186,3,13,English
1,60415,17,31,64,999154,2,12,English
1,33172,12,86,16,661056,3,13,English
1,93905,6,53,32,298780,1,11,English
1,75220,48,113,64,373281,7,13,English
1,6339,9,11,32,182231,0,10,English
1,60613,17,31,4,557256,2,12,English
1,33010,12,86,64,90426,3,13,English
1,62901,17,77,96,757558,2,12,English
1,93036,6,111,64,980473,1,11,English
1,11554,36,59,64,996258,0,10,English
1,77036,48,201,96,130861,7,13,English
1,75229,48,113,240,827692,7,13,English
1,33010,12,86,96,171731,3,13,English
1,77036,48,201,96,51204,7,13,English
1,33157,12,86,96,411220,3,13,English
1,77081,48,201,64,999366,7,13,English
1,75211,48,113,16,505768,7,13,English
1,92254,6,65,32,659373,1,11,English
1,75211,48,113,240,283583,7,13,English
1,33010,12,86,32,980814,3,13,English
1,87507,35,49,32,714004,0,10,English
1,33175,12,86,64,661880,3,13,English
1,50156,19,153,4,440884,2,12,English
1,60609,17,31,4,992409,5,13,English
1,36551,1,3,64,288621,2,12,English
1,93656,6,19,4,266856,1,11,English
1,30328,13,121,32,277544,2,12,English
1,33135,12,86,4,843077,3,13,English
1,64052,29,95,96,537021,2,12,English
1,33135,12,86,16,977212,3,13,English
1,1841,25,9,16,660997,1,11,English
1,53536,55,105,64,612711,2,12,English
0,77076,48,201,4,953281,7,3,Both
0,45840,39,63,4,862700,2,2,English
0,77042,48,201,240,186987,2,2,English
0,75220,48,113,240,836085,7,3,Both
0,30043,13,135,64,355553,2,2,English
0,66062,20,91,16,521059,2,2,English
0,33144,12,86,4,419613,3,3,Both
0,66203,20,91,240,503449,2,2,English
0,77084,48,201,240,164280,2,2,English
0,44709,39,151,32,87189,2,2,English
0,33126,12,86,16,137182,3,3,Both
0,29072,45,63,64,903935,2,2,English
0,32828,12,95,240,54382,2,2,English
0,27527,37,101,4,76418,0,0,English
0,73107,40,109,240,181372,2,2,English
0,33010,12,86,16,953987,3,3,Both
0,33130,12,86,16,290575,3,3,Both
0,2152,25,25,4,430419,0,0,English
0,78584,48,427,240,517975,7,3,Both
0,77076,48,201,16,216286,7,3,Both
0,35749,1,89,64,305407,2,2,English
0,33012,12,86,4,493655,3,3,Both
0,44663,39,157,4,798181,2,2,English
0,35043,1,117,96,455504,2,2,English
0,71268,22,13,4,552006,2,2,English
0,21030,24,5,96,128424,0,0,English
0,77093,48,201,4,617867,7,3,Both
0,24319,51,173,64,395870,0,0,English
0,92236,6,65,16,649332,1,1,Both
0,70068,22,95,96,656842,2,2,English
0,71302,22,79,96,18762,2,2,English
0,75071,48,85,64,815179,2,2,English
0,42303,21,59,240,651533,2,2,English
0,60623,17,31,96,975623,5,3,Both
0,79415,48,303,4,672192,2,2,English
0,90280,6,37,240,904265,1,1,Both
0,49445,26,121,32,520541,0,0,English
0,77535,48,291,64,922181,2,2,English
0,46979,18,67,16,482849,2,2,English
0,33013,12,86,64,228681,3,3,Both
0,11754,36,103,4,978648,0,0,English
0,42633,21,231,4,322864,2,2,English
0,31021,13,175,64,823301,2,2,English
0,1841,25,9,240,865572,1,1,Both
0,91360,6,111,240,869045,0,0,English
0,51104,19,193,4,192696,2,2,English
0,94306,6,85,64,601446,0,0,English
0,62379,17,67,240,899262,2,2,English
0,75043,48,113,32,441249,2,2,English
0,46013,18,95,64,373893,2,2,English
0,70506,22,55,32,453091,2,2,English
0,84010,49,11,4,241983,0,0,English
0,37148,47,165,16,343099,2,2,English
0,46107,18,97,240,222972,2,2,English
0,39059,28,29,16,275131,2,2,English
0,44883,39,147,240,540776,2,2,English
0,76643,48,309,16,395835,2,2,English
0,54982,55,137,4,685623,2,2,English
0,43410,39,143,240,519870,2,2,English
0,78582,48,427,4,357837,7,3,Both
0,62557,17,21,32,881652,2,2,English
0,79915,48,141,4,506957,7,3,Both
0,33142,12,86,96,444792,3,3,Both
0,77083,48,201,16,430902,2,2,English
0,46501,18,99,4,348714,2,2,English
0,85350,4,27,64,411338,1,1,Both
0,60617,17,31,16,317461,2,2,English
